onset	duration	nwb_table	train_duration	train_period	train_quantity	waveform_shape	run	pulse_duration	pulse_number	event_period	amplitude	contacts	contact_negative	contact_positive	polarity	notes	contact_negative_coord	contact_positive_coord
2569.429833333333	4905.701999999999	epochs																
2569.429833333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2571.4320007442707	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2573.433833333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2575.435833333333	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2577.4380011352864	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2579.4396320677324	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2581.4418	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2583.4438	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2585.445631676717	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2587.4478	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2589.4498	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2591.451968714321	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2593.4538	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2595.4558	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2597.4579691053364	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2599.4598	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2601.4618	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2603.4638	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2605.4655970400004	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
2607.467766666666	2.0	trials	1.0	2.0	75.0	biphasic	0.0	100.0	1.0	10.0	-5.0	3r_14b	3.0	14.0	bipolar		[7840, 1470, 3406]	[7840, 1420, 3404]
